group_number,status,source_url,first_seen_at,last_verified_at,notes
1217,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1218,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1219,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1220,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1222,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1223,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1224,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1226,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1227,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1228,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1229,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1230,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1231,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1232,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1233,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1234,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1235,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1236,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1237,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1238,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1239,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1240,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
